"src_node","dst_node","src_space_id","dst_space_id"
"11","1","1","1"
"11","1","2","1"
"23","1","3","1"
"23","1","1","1"
"101","1","1","1"
"101","1","4","1"
"102","1","1","1"
"83","1","4","1"
"83","1","1","1"
"7","4","1","1"
"7","4","2","1"
"6","4","1","1"
"6","4","2","1"
"9","4","1","1"
"9","4","2","1"
"8","4","1","1"
"8","4","2","1"
"10","4","1","1"
"10","4","2","1"
"5","4","1","1"
"5","4","2","1"
"11","4","1","1"
"11","4","2","1"
"12","4","1","1"
"12","4","2","1"
"12","4","3","1"
"13","4","1","1"
"13","4","2","1"
"15","4","1","1"
"15","4","2","1"
"25","4","3","1"
"25","4","1","1"
"26","4","3","1"
"26","4","1","1"
"47","4","1","1"
"32","4","1","1"
"32","4","3","1"
"50","4","1","1"
"50","4","3","1"
"83","4","4","1"
"83","4","1","1"
"23","4","3","1"
"23","4","1","1"
"48","4","1","1"
"48","4","3","1"
"102","4","1","1"
"78","4","4","1"
"78","4","1","1"
"78","4","6","1"
"101","4","1","1"
"101","4","4","1"
"113","4","1","1"
"113","4","4","1"
"89","4","4","1"
"89","4","1","1"
"54","4","1","1"
"54","4","3","1"
"111","4","1","1"
"131","4","4","1"
"131","4","1","1"
"131","4","5","1"
"137","4","4","1"
"137","4","1","1"
"107","4","1","1"
"107","4","3","1"
"129","4","3","1"
"129","4","1","1"
"42","4","3","1"
"42","4","1","1"
"45","4","1","1"
"45","4","3","1"
"64","4","3","1"
"64","4","1","1"
"11","1","1","2"
"11","1","2","2"
"23","1","3","2"
"23","1","1","2"
"101","1","1","2"
"101","1","4","2"
"102","1","1","2"
"83","1","4","2"
"83","1","1","2"
"7","4","1","2"
"7","4","2","2"
"6","4","1","2"
"6","4","2","2"
"9","4","1","2"
"9","4","2","2"
"8","4","1","2"
"8","4","2","2"
"10","4","1","2"
"10","4","2","2"
"5","4","1","2"
"5","4","2","2"
"11","4","1","2"
"11","4","2","2"
"12","4","1","2"
"12","4","2","2"
"12","4","3","2"
"13","4","1","2"
"13","4","2","2"
"15","4","1","2"
"15","4","2","2"
"25","4","3","2"
"25","4","1","2"
"26","4","3","2"
"26","4","1","2"
"47","4","1","2"
"32","4","1","2"
"32","4","3","2"
"50","4","1","2"
"50","4","3","2"
"83","4","4","2"
"83","4","1","2"
"23","4","3","2"
"23","4","1","2"
"48","4","1","2"
"48","4","3","2"
"102","4","1","2"
"78","4","4","2"
"78","4","1","2"
"78","4","6","2"
"101","4","1","2"
"101","4","4","2"
"113","4","1","2"
"113","4","4","2"
"89","4","4","2"
"89","4","1","2"
"54","4","1","2"
"54","4","3","2"
"111","4","1","2"
"131","4","4","2"
"131","4","1","2"
"131","4","5","2"
"137","4","4","2"
"137","4","1","2"
"107","4","1","2"
"107","4","3","2"
"129","4","3","2"
"129","4","1","2"
"42","4","3","2"
"42","4","1","2"
"45","4","1","2"
"45","4","3","2"
"64","4","3","2"
"64","4","1","2"
"7","5","1","1"
"7","5","2","1"
"6","5","1","1"
"6","5","2","1"
"11","5","1","1"
"11","5","2","1"
"10","5","1","1"
"10","5","2","1"
"4","5","1","1"
"4","5","2","1"
"4","5","3","1"
"4","5","4","1"
"4","5","5","1"
"4","5","6","1"
"4","5","7","1"
"12","5","1","1"
"12","5","2","1"
"12","5","3","1"
"13","5","1","1"
"13","5","2","1"
"15","5","1","1"
"15","5","2","1"
"83","5","4","1"
"83","5","1","1"
"101","5","1","1"
"101","5","4","1"
"81","5","4","1"
"81","5","1","1"
"116","5","1","1"
"116","5","2","1"
